Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Refunds (excl tax),Tax on Refunds,Refunds (incl tax),Price adjustments (excl. tax),Tax on price adjustments,Adjustments (including tax),Promotions on items,Tax on Promotion on items,Promotions on delivery,Tax on Promotions on Delivery,Marketing adjustment,Bag Fee,Marketplace fee,Tax on Marketplace fee,Delivery Network Fee,Tax on delivery network fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,82,0,2040.98,18.17,2059.15,-6.29,0,-6.29,0,0,0,-155.42,0,0,0,0,0,-284.01,0,0,0,0,1903.73,0,-18.17,0,1595.26,7/22/25,PLCBFZMLL58C1BS
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,18,0,571.53,2.21,573.74,-72.58,0,-72.58,0,0,0,-49.82,0,0,0,0,0,-80.92,0,0,0,0,523.92,0,-2.21,0,368.21,7/21/25,DGRAIVF00TPJEYS
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,71,0,1743.48,8.67,1752.15,-42.59,0,-42.59,0,0,0,-129.18,0,0,0,0,0,-245.11,0,0,0,0,1622.97,0,-8.67,0,1326.6,7/21/25,TQP3LT75NB8IWSR
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,44,0,1042.36,5.8,1048.16,-27.15,0,-27.15,0,0,0,-64.29,0,0,0,0,0,-150.12,0,0,0,0,983.87,0,-5.8,0,800.8,7/21/25,9P23EFYILSDCGB9
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,54,0,1416.49,4.88,1421.37,17.19,0,17.19,0,0,0,-80.94,0,0,0,0,0,-209.27,0,0,0,0,1340.43,0,-4.88,-274.42,869.05,7/21/25,P8HH8D5PEPK060K
McDonald's (4783 Liberty Ave),3d2d8bd9-5a32-543b-a0f7-836f141dd27d,23727,3,1,74.19,0.2,74.39,0,0,0,0,0,0,-3.59,0,0,0,0,0,-11.29,0,0,0,0,70.8,0,-0.2,0,59.63,7/21/25,BB7NHXYONGRKIKW
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,6,0,118.79,0.36,119.15,0,0,0,0,0,0,0,0,0,0,0,0,-18.36,0,0,0,0,119.15,0,-0.36,0,100.43,7/21/25,BVM9AX78FMSFHSA
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,12,0,426.84,2.28,429.12,-33.9,0,-33.9,0,0,0,-23.16,0,0,0,0,0,-63.39,0,0,0,0,405.96,0,-2.28,0,306.39,7/21/25,8YF4XF8MKS2ZIDK
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,274,7,6060.62,31.34,6091.96,-140.59,-2.38,-142.97,0,0,0,-566.97,0,0,0,0,0,-853.62,0,0,0,0,5524.99,-18.57,-28.96,0,4480.87,7/21/25,5FV5DZLOKY7BP4R
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,114,0,2912.15,13.57,2925.72,-20.67,0,-20.67,0,0,0,-155.69,0,0,0,0,0,-426.05,0,0,0,0,2770.03,0,-13.57,0,2309.74,7/21/25,H6HHPNG5RCZSO83
McDonald's® (2118 Cleveland Rd W),71c6a949-9742-4f39-b06e-718610aca49a,6106,2,0,72.31,0,72.31,0,0,0,0,0,0,0,0,0,0,0,0,-10.12,0,0,0,0,72.31,0,0,0,62.19,7/21/25,PZCW47SC5O0RZV2
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,51,0,1268.71,6.14,1274.85,-17.42,-0.66,-18.08,0,0,0,-61.38,0,0,0,0,0,-185.98,0,0,0,0,1213.47,0,-5.48,0,1003.93,7/21/25,NM8RM00XZ9UBVMP
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,18,0,401.17,1.67,402.84,-0.9,0,-0.9,0,0,0,-34.74,0,0,0,0,0,-54.5,0,0,0,0,368.1,0,-1.67,0,311.03,7/21/25,BR7LXKXQ9RW870Z
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,83,0,2021.77,8.75,2030.52,7.3,0,7.3,0,0,0,-138.96,0,0,0,0,0,-290.28,0,0,0,0,1891.56,0,-8.75,0,1599.83,7/21/25,JDYXXGZWKI4QOIO
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,9,0,196.46,0.52,196.98,-6.88,0,-6.88,0,0,0,-27.72,0,0,0,0,0,-24.81,0,0,0,0,169.26,0,-0.52,0,137.05,7/21/25,Y2A7RSWPFHK597E
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,128,0,3106.87,17.82,3124.69,-12.19,0,-12.19,0,0,0,-194.79,0,0,0,0,0,-446.82,0,0,0,0,2929.9,0,-17.82,0,2453.07,7/21/25,8HKVV849PRTIC08
