Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Price Adjustments (incl. tax),Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Marketing Adjustment,Bag Fee,Marketplace Fee,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,98,0,2538.51,16.62,2555.13,-32.7,0,-32.7,0,0,0,-376.03,0,0,0,0,0,-330.34,0,0,0,0,2179.1,0,-16.62,0,1799.44,7/28/25,63HUVC2338IA6GV
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,17,0,610.23,3.11,613.34,0,0,0,0,0,0,-69.21,0,0,0,0,0,-83.75,0,0,0,0,544.13,0,-3.11,0,457.27,7/28/25,FK1SFM4LVNHRWWU
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,70,0,1857.66,9.87,1867.53,-61.69,0,-61.69,0,0,0,-204.11,0,0,0,0,0,-256.43,0,0,0,0,1663.42,0,-9.87,0,1335.43,7/28/25,SGC3PUM7RTJXE48
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,45,0,1179.4,5.22,1184.62,0,0,0,0,0,0,-156.79,0,0,0,0,0,-157.33,0,0,0,0,1027.83,0,-5.22,0,865.28,7/28/25,VVKWAT88P4TT9RS
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,66,0,1709.62,7.72,1717.34,-39.08,0,-39.08,0,0,0,-143.88,0,0,0,0,0,-243.71,0,0,0,0,1573.46,0,-7.72,-307.92,975.03,7/28/25,3Z556LDK3SZ5RL0
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,8,0,186.38,3.03,189.41,-27.78,0,-27.78,0,0,0,-25.27,0,0,0,0,0,-25.07,0,0,0,0,164.14,0,-3.03,0,108.26,7/28/25,5LBSXP5A5AHCNJM
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,19,1,527.49,3.05,530.54,-5.19,0,-5.19,0,0,0,-71.48,0,0,0,0,0,-70.71,0,0,0,0,459.06,-22.67,-3.05,0,357.44,7/28/25,5LI6QCTQCVIB72D
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,331,8,7631.9,38.58,7670.48,-153.22,-0.66,-153.88,0,0,0,-1442.13,0,0,0,0,0,-959.95,0,0,0,0,6228.35,-17.21,-37.92,0,5059.39,7/28/25,7KZM2LAR5RZIA31
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,110,0,2997.06,13.3,3010.36,-24,0,-24,0,0,0,-326.05,0,0,0,0,0,-412.36,0,0,0,0,2684.31,0,-13.3,0,2234.65,7/29/25,C9QV05D90C64GME
McDonald's® (2118 Cleveland Rd W),71c6a949-9742-4f39-b06e-718610aca49a,6106,1,0,20.38,0.46,20.84,0,0,0,0,0,0,0,0,0,0,0,0,-3.26,0,0,0,0,20.84,0,-0.46,0,17.12,7/28/25,8OPNB8OFA0QM7LB
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,76,0,2002.46,6.87,2009.33,-11.08,0,-11.08,0,0,0,-238.96,0,0,0,0,0,-268.78,0,0,0,0,1770.37,0,-6.87,0,1483.64,7/28/25,V0SV1LDYXSKN416
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,21,0,631.34,1.23,632.57,0,0,0,0,0,0,-73.37,0,0,0,0,0,-83.68,0,0,0,0,559.2,0,-1.23,0,474.29,7/28/25,OKJDIOE533ABH0B
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,85,0,2045.13,10.7,2055.83,-103.36,0,-103.36,0,0,0,-359.76,0,0,0,0,0,-259.75,0,0,0,0,1696.07,0,-10.7,0,1322.26,7/28/25,CVRWUFRTUPR9BBM
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,1,0,14.35,0,14.35,0,0,0,0,0,0,0,0,0,0,0,0,-2.3,0,0,0,0,14.35,0,0,0,12.05,7/28/25,DFATN9XS9KOCDRI
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,4,0,141.91,0.71,142.62,-4.05,0,-4.05,0,0,0,-31.07,0,0,0,0,0,-17.74,0,0,0,0,111.55,0,-0.71,0,89.05,7/29/25,F0CTA4SSO415PQV
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,150,0,3776.06,17.28,3793.34,-46.32,-1.01,-47.33,0,0,0,-555.3,0,0,0,0,0,-491.51,0,0,0,0,3238.04,0,-16.27,0,2682.93,7/28/25,C50GO8U5X0ZF20G
